
 1 2.444826,4.818754,0.143887,0.143887,498.891346,49.506220,0.688393,0.796459 ,0.453371,0.913951,0.903625,0.889651,4.809814,2.856489,12.545767,0.385206,4.818754,0.321424,-0.030500,0.118085,0.954107,0.957356
 2 2.485934,8.709719,-0.056573,-0.056573,290.088648,39.025864,1.244246,0.685615 ,0.615584,0.844469,0.825806,0.818414,6.829648,3.297954,15.648184,0.492382,8.709719,0.467964,-0.006260,0.062262,0.917050,0.922923
 1 2.444826,4.818754,0.143887,0.143887,498.891346,49.506220,0.688393,0.796459 ,0.453371,0.913951,0.903625,0.889651,4.809814,2.856489,12.545767,0.385206,4.818754,0.321424,-0.030500,0.118085,0.954107,0.957356
 2 2.485934,8.709719,-0.056573,-0.056573,290.088648,39.025864,1.244246,0.685615 ,0.615584,0.844469,0.825806,0.818414,6.829648,3.297954,15.648184,0.492382,8.709719,0.467964,-0.006260,0.062262,0.917050,0.922923
 1 2.444826,4.818754,0.143887,0.143887,498.891346,49.506220,0.688393,0.796459 ,0.453371,0.913951,0.903625,0.889651,4.809814,2.856489,12.545767,0.385206,4.818754,0.321424,-0.030500,0.118085,0.954107,0.957356
 2 2.485934,8.709719,-0.056573,-0.056573,290.088648,39.025864,1.244246,0.685615 ,0.615584,0.844469,0.825806,0.818414,6.829648,3.297954,15.648184,0.492382,8.709719,0.467964,-0.006260,0.062262,0.917050,0.922923
 1 2.108333,3.558333,0.169761,0.169761,422.111486,41.126936,0.508333,0.845190 ,0.363768,0.936458,0.928833,0.917857,3.883838,2.641667,10.433895,0.313442,3.558333,0.260362,-0.044406,0.128632,0.966111,0.968510
 1 1.823780,3.884146,0.055782,0.055782,268.925939,30.661038,0.554878,0.843066 ,0.359110,0.930640,0.922317,0.916463,3.763525,2.614634,9.681180,0.304175,3.884146,0.276979,-0.006533,0.048738,0.963008,0.965627
 1 1.872881,5.042373,-0.009439,-0.009439,231.420165,30.315543,0.720339,0.805741 ,0.419489,0.909958,0.899153,0.894673,4.351277,2.754237,10.737281,0.348160,5.042373,0.331421,-0.000224,0.009689,0.951977,0.955377
 2 2.189542,7.915033,-0.076323,-0.076323,216.927231,33.172677,1.130719,0.714565 ,0.561121,0.858660,0.841699,0.837535,6.420587,3.143791,14.049077,0.449483,7.915033,0.442200,-0.014662,0.092833,0.924619,0.929955
 1 3.838778,4.367543,0.392554,0.392554,1076.888753,92.125848,0.623935,0.772077 ,0.511199,0.922008,0.912649,0.875710,5.985252,3.116122,17.123757,0.449417,4.367543,0.300529,-0.161513,0.293330,0.958404,0.961349
